Newspaper,Date,Headline ,Content ,Human Summary,Genre
Times of India,"March 14, 2006",IAF trainee pilots get to train on 'Hawks',Indian Air Force (IAF) trainee pilots are now training on 'Hawks.',IAF trainee pilots benefit from new training equipment.,Military/Aviation
Times of India,"March 14, 2006",Expert panel caught unawares,An expert panel faces an unexpected situation.,Expert panel caught off guard by a surprise event.,General News
Times of India,"March 14, 2006","Pay fine, everything will be fine!",Authorities suggest resolving a situation by paying a fine.,Resolution recommended by paying a fine.,General News
Times of India,"March 14, 2006",Mentally ill man runs amok,Chaos ensues as a mentally ill man causes disorder.,"Mentally ill man runs amok, causing chaos.",Social/Security
Times of India,"March 14, 2006",Power cuts in city to last till monsoon,Anticipation of power cuts in the city until the monsoon season.,City residents may face power disruptions until monsoon.,Infrastructure
Times of India,"March 14, 2006",Gowdas to launch TV channel,The Gowda family plans to launch their TV channel.,Gowda family ventures into the television business.,Entertainment/Business
Times of India,"March 14, 2006","Now, a fatwa against Islamic terror",A fatwa is issued against Islamic terrorism.,Religious authorities condemn terrorism through a fatwa.,Religion/Security
Times of India,"March 14, 2006",Plummeting sales drive poultry owner to suicide,Economic downturn leads a poultry owner to suicide.,Economic struggles impact a poultry owner's mental health.,Business/Tragedy
Times of India,"March 14, 2006",City sees spurt in chain-snatching incidents,Increase in chain-snatching incidents reported in the city.,City experiences a rise in chain-snatching crimes.,Crime/Safety
Times of India,"March 14, 2006",Emergency landing for AI flight,Air India flight makes an emergency landing.,Air India flight makes an unscheduled landing due to an emergency.,Aviation/Safety
Times of India,"March 14, 2006",Bird flu: All human samples test negative,Human samples for bird flu test negative.,Relief as all human samples for bird flu return negative results.,Health/Outbreak
Times of India,"March 22, 2006",Investors cautious as sensex touches 11000,Investors exercise caution as Sensex reaches 11000 points.,Caution among investors as the stock market reaches new highs.,Finance/Stock Market
Times of India,"March 22, 2006",From education to knowledge hub,A transformation from education to a knowledge hub is envisioned.,Shift from education to a knowledge hub is planned.,Education/Development
Times of India,"March 22, 2006",Home loan rates set to go up: HDFC,HDFC predicts an increase in home loan rates.,HDFC forecasts a rise in home loan interest rates.,Finance/Real Estate
Times of India,"March 22, 2006",Midcap stocks yet to catch up with rise,Midcap stocks lag behind despite overall market growth.,Midcap stocks show slower growth compared to the broader market.,Finance/Stock Market
Times of India,"March 22, 2006",Probe official's conduct not above board: HC,"High Court scrutinizes official's conduct, finding it questionable.",High Court questions the conduct of a government official.,Legal/Justice
Times of India,"March 22, 2006",Will this murder victim get justice?,Uncertainty surrounds justice for a murder victim.,Doubts linger on the prospect of justice for a murder victim.,Crime/Justice
Times of India,"March 22, 2006",Bird flu: India hit by Asian strain,India affected by the Asian strain of bird flu.,"Bird flu outbreak in India, attributed to the Asian strain.",Health/Outbreak
Times of India,"March 22, 2006",HC clears mess on GK-II roads,High Court intervenes to address traffic issues on GK-II roads.,High Court resolves traffic issues on GK-II roads.,Legal/Infrastructure
Times of India,"March 22, 2006",Arms dealer to be questioned in case,Arms dealer to be questioned in a legal case.,Legal proceedings involve questioning an arms dealer.,Legal/Security
Times of India,"March 22, 2006",Mysterious disease kills pigs,Pigs succumb to a mysterious disease.,Unexplained illness leads to the death of pigs.,Health/Animals
Times of India,"March 28, 2006",3 killed as lorry hits parked vehicle,Three casualties reported as a lorry collides with a parked vehicle.,"Fatal accident as a lorry crashes into a stationary vehicle, claiming three lives.",Accident/Tragedy
Times of India,"March 28, 2006",CAG raps DD for revenue losses,Comptroller and Auditor General criticizes Doordarshan for revenue losses.,Doordarshan faces scrutiny and criticism from CAG for financial losses.,Media/Finance
Times of India,"March 28, 2006",Even summer heat may not stop bird flu,Bird flu concerns persist despite the onset of summer heat.,"Bird flu continues to be a concern, unaffected by rising temperatures.",Health/Outbreak
